Time(h),PJ23100-1,PJ23100-2,PJ23112-1,PJ23112-2,PJ23119-1,PJ23119-2,PJ23109-1,PJ23109-2
0,2.10936,2.10936,2.10936,2.10936,2.29,2.29,2.11912,2.11912
3,4.600949637,5.191035491,5.669422554,5.48903662,1.716586011,2.025483369,5.91230806,5.507103312
6,5.993166232,6.169478655,7.785555394,8.300789786,1.024305077,2.226155844,8.808611501,8.145598588
12,8.675854732,8.774971869,11.01213751,10.772974,1.277839392,1.634355993,12.39452663,11.92070014
18,10.08530982,10.6332523,8.434653659,7.175534473,1.275834571,1.778377184,11.06388037,10.99320116
24,11.65250437,12.0694404,7.272265048,6.882998169,2.571470187,2.415687464,10.87080652,10.93243755
36,12.49464408,12.40381867,7.489882233,5.97345607,4.543753443,3.97041175,11.7216317,12.44461669
48,11.40079463,11.35649581,7.387178479,5.75425492,4.900408623,4.005612367,10.9661662,11.41283179
