Time(h),PJ23100-1,PJ23100-2,PJ23112-1,PJ23112-2,PJ23119-1,PJ23119-2,PJ23109-1,PJ23109-2
0,0,0,0,0,0,0,0,0
3,6.113651208,5.852384063,4.08883083,6.309601568,4.415414762,5.852384063,5.591116917,2.782495101
6,8.073154801,8.203788374,8.64684466,8.64684466,6.947815534,8.768203883,8.64684466,8.768203883
12,11.42597087,11.24393204,12.45752427,13.24635922,11.97208738,14.09587379,13.18567961,13.24635922
18,16.07326478,14.85218509,16.33033419,14.27377892,15.55912596,16.33033419,15.55912596,15.2377892
24,16.39460154,18.0655527,16.71296296,14.59656085,15.19179894,17.90343915,16.18386243,16.0515873
36,17.83730159,18.56481481,19.02777778,17.04365079,19.49074074,19.29232804,18.89550265,18.82936508
48,18.45755023,19.23525599,19.68891769,19.68891769,19.88334413,19.81853532,19.62410888,19.62410888
