Time(h),PJ23100-1,PJ23100-2,PJ23112-1,PJ23112-2,PJ23119-1,PJ23119-2,PJ23109-1,PJ23109-2
0,0.52734,0.52734,0.52734,0.52734,0.5725,0.5725,0.52978,0.52978
3,0.941050363,0.973564509,0.257077446,0.24216338,4.100113989,4.151316631,0.14239194,0.120296688
6,2.069533768,2.100821345,0.380944606,0.408910214,7.776994923,6.440844156,0.163588499,0.112501412
12,2.554145268,2.565028131,2.262862488,1.764025995,10.40416061,10.23064401,0.300473373,0.28029986
18,1.602690177,1.774747698,4.669346341,4.451465527,12.04216543,12.48562282,1.888119634,2.299798837
24,1.756495627,1.852559596,7.504734952,6.539001831,12.67552981,13.85031254,2.892193481,2.855562454
36,1.787355925,1.732181329,7.860117767,7.19154393,12.28324656,13.44258825,3.323368302,2.918383306
48,1.654205366,1.698504193,6.662821521,8.81474508,11.90859138,13.23038763,3.926833802,3.766168213
