Time(h),PJ23100-1,PJ23100-2,PJ23112-1,PJ23112-2,PJ23119-1,PJ23119-2,PJ23109-1,PJ23109-2
0,0,0,0,0,0,0,0,0
6,1.287,1.2892,1.3948,1.3707,1.3004,1.3855,1.376,1.3593
12,0.83,0.966,1.7011,1.609,1.4355,1.5588,1.58,1.5227
18,0.6737,0.5671,1.3376,1.1345,1.3172,1.5361,1.3399,1.4675
24,0.4165,0.6742,0.5725,0.3528,1.3046,1.514,0.8549,0.8498
36,0,0,0,0,0.2262,0,0,0
48,0,0,0,0,0,0,0,0
