Time(h),Amp 0-1,Amp 0-2,Amp 05-1,Amp 05-2,Amp 10-1,Amp 10-2,Amp 20-1,Amp 20-2
0,10,10,10,10,10,10,10,10
6,1.11669,1.299327,2.151633,2.273391,4.038882,4.16064,7.81338,7.630743
6.05,11.11669,11.299327,12.151633,12.273391,14.038882,14.16064,17.81338,17.630743
12,7.056652,7.056652,9.938296,9.938296,11.76568,11.76568,16.123288,16.123288
18,5.223026,5.626806,10.229898,8.009108,13.339004,9.98763,14.469588,13.863918
24,1.150765,4.172916,8.595576,3.656939,12.133704,15.008433,14.934722,14.492456
48,0.668434,0.163657,0.740545,0.884767,0.524212,0.740545,17.181853,17.758741
