Time(h),Amp 0-1,Amp 0-2,Amp 05-1,Amp 05-2,Amp 10-1,Amp 10-2,Amp 20-1,Amp 20-2
0,0,0,0,0,0,0,0,0
6,1.7071,1.7271,1.4789,1.4018,1.0155,1.0804,0.2303,0.239
12,2.1077,1.803,1.2045,1.2628,0.2493,0.2531,0,0
18,2.1691,1.7393,0.4478,1.2488,0,0,0,0
24,2.4128,2.0151,0.8066,1.5941,0,0.0485,0.0646,0.061
48,0.05,0.1421,0,0,0.2016,0,0,0
