Time(h),Amp 0-1,Amp 0-2,Amp 05-1,Amp 05-2,Amp 10-1,Amp 10-2,Amp 20-1,Amp 20-2
0,0.818295994,0.818295994,0.818295994,0.818295994,0.753898909,0.753898909,0.753898909,0.753898909
6,5.908083593,6.430346245,5.594517217,6.223371377,3.971636223,3.740851654,2.250130217,2.85063682
12,12.31700839,10.18425944,8.939603298,9.530522631,6.081848007,6.440913119,3.837267419,3.963081264
18,13.85671084,11.41330225,8.433353292,10.81020824,6.199245139,6.783593576,3.430008152,3.495512974
24,15.9504512,12.58887922,9.407093117,10.58530936,6.616719828,6.437852911,2.574997972,2.98596231
48,16.80108956,13.72168537,11.23891569,11.83908912,8.10708474,8.539476265,2.280037534,2.280037534
