Time(h),Amp 0-1,Amp 0-2,Amp 05-1,Amp 05-2,Amp 10-1,Amp 10-2,Amp 20-1,Amp 20-2
0,0,0,0,0,0,0,0,0
6,8.88331,8.700673,7.848367,7.726609,5.961118,5.83936,2.18662,2.369257
12,12.943348,12.943348,10.061704,10.061704,8.23432,8.23432,3.876712,3.876712
18,14.776974,14.373194,9.770102,11.990892,6.660996,10.01237,5.530412,6.136082
24,18.849235,15.827084,11.404424,16.343061,7.866296,10.01237,5.065278,5.507544
48,19.331566,19.836343,19.259455,19.115233,19.475788,19.259455,2.818147,2.241259
