Time(h),Amp 0-1,Amp 0-2,Amp 05-1,Amp 05-2,Amp 10-1,Amp 10-2,Amp 20-1,Amp 20-2
0,2.035704006,2.035704006,2.035704006,2.035704006,1.875501091,1.875501091,1.875501091,1.875501091
6,1.965416407,1.803253755,2.272882783,2.010228623,2.668963777,3.351448346,3.035469783,2.56316318
12,1.08599161,0.991740556,1.088396702,0.943477369,1.565851993,1.872086881,2.040432581,1.926818736
18,1.225289164,0.933697748,1.594646708,1.549791759,2.022154861,2.048206424,2.307291848,2.290587026
24,0.956548798,1.217120775,1.908906883,1.993690636,2.295280172,2.473247089,2.991402028,2.72693769
48,3.468910439,3.404314634,4.648084308,4.847910883,5.13791526,6.200523735,3.310762466,2.486692829
